id,place,receive_time,sensor_num,in1,out1,state1,in2,out2,state2,processed_per_chunk
0,1,2021-01-15 09:00:00.144,2,508,73,0,73,508,0,True
1,1,2021-01-15 09:00:01.146,2,508,73,0,73,508,0,True
2,1,2021-01-15 09:00:02.161,2,508,73,0,73,508,0,True
3,1,2021-01-15 09:00:03.176,2,508,73,0,73,508,0,True
4,1,2021-01-15 09:00:04.192,2,508,73,0,73,508,0,True
5,1,2021-01-15 09:00:05.207,2,508,73,0,73,508,0,True
6,1,2021-01-15 09:00:06.222,2,508,73,0,73,508,0,True
7,1,2021-01-15 09:00:07.238,2,508,73,0,73,508,0,True
8,1,2021-01-15 09:00:08.253,2,508,73,0,73,508,0,True
9,1,2021-01-15 09:00:09.269,2,508,73,0,73,508,0,True
10,1,2021-01-15 09:00:10.284,2,508,73,0,73,508,0,True
11,1,2021-01-15 09:00:11.3,2,508,73,0,73,508,0,True
12,1,2021-01-15 09:00:12.315,2,508,73,0,73,508,0,True
13,1,2021-01-15 09:00:13.33,2,508,73,0,73,508,0,True
14,1,2021-01-15 09:00:14.346,2,508,73,0,73,508,0,True
15,1,2021-01-15 09:00:15.347,2,508,73,0,73,508,0,True
16,1,2021-01-15 09:00:16.363,2,508,73,0,73,508,0,True
17,1,2021-01-15 09:00:17.378,2,508,73,0,73,508,0,True
18,1,2021-01-15 09:00:18.393,2,508,73,0,73,508,0,True
19,1,2021-01-15 09:00:19.409,2,508,73,0,73,508,0,True
20,1,2021-01-15 09:00:20.424,2,508,73,0,73,508,0,True
21,1,2021-01-15 09:00:21.44,2,508,73,0,73,508,0,True
22,1,2021-01-15 09:00:22.455,2,508,73,0,73,508,0,True
23,1,2021-01-15 09:00:23.47,2,508,73,0,73,508,0,True
24,1,2021-01-15 09:00:24.486,2,508,73,0,73,508,0,True
25,1,2021-01-15 09:00:25.501,2,508,73,0,73,508,0,True
26,1,2021-01-15 09:00:26.517,2,508,73,0,73,508,0,True
27,1,2021-01-15 09:00:27.532,2,508,73,0,73,508,0,True
28,1,2021-01-15 09:00:28.547,2,508,73,0,73,508,0,True
29,1,2021-01-15 09:00:29.563,2,508,73,0,73,508,0,True
30,1,2021-01-15 09:00:30.564,2,508,73,0,73,508,0,True
31,1,2021-01-15 09:00:31.579,2,508,73,0,73,508,0,True
32,1,2021-01-15 09:00:32.595,2,508,73,0,73,508,0,True
33,1,2021-01-15 09:00:33.61,2,508,73,0,73,508,0,True
34,1,2021-01-15 09:00:34.626,2,508,73,0,73,508,0,True
35,1,2021-01-15 09:00:35.641,2,508,73,0,73,508,0,True
36,1,2021-01-15 09:00:36.656,2,508,73,0,73,508,0,True
37,1,2021-01-15 09:00:37.672,2,508,73,0,73,508,0,True
38,1,2021-01-15 09:00:38.687,2,508,73,0,73,508,0,True
39,1,2021-01-15 09:00:39.702,2,508,73,0,73,508,0,True
40,1,2021-01-15 09:00:40.718,2,508,73,0,73,508,0,True
41,1,2021-01-15 09:00:41.733,2,508,73,0,73,508,0,True
42,1,2021-01-15 09:00:42.749,2,508,73,0,73,508,0,True
43,1,2021-01-15 09:00:43.764,2,508,73,1,73,508,1,True
44,1,2021-01-15 09:00:44.779,2,508,73,1,73,508,1,True
45,1,2021-01-15 09:00:45.78,2,508,73,1,73,508,1,True
46,1,2021-01-15 09:00:46.796,2,508,73,1,73,508,1,True
47,1,2021-01-15 09:00:47.811,2,508,73,1,73,508,1,True
48,1,2021-01-15 09:00:48.827,2,508,73,1,73,508,1,True
49,1,2021-01-15 09:00:49.842,2,508,73,1,73,508,1,True
50,1,2021-01-15 09:00:50.858,2,508,73,1,73,508,1,True
51,1,2021-01-15 09:00:51.873,2,508,73,1,73,508,1,True
